title,artist,album_art_url,audio_url_spotify,id,audio_url_apple,audio_url_ytube,audio_url_amazon
Slicedat_,Knxwledge,https://i.scdn.co/image/ab67616d0000b27320f5dac1b5c6ddfe2f11c07d,https://open.spotify.com/track/6NYjwsMjq0ZTZ0j27tLjz6,2025-07-20,https://geo.music.apple.com/us/album/_/1500350655?i=1500350659&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=GUrxmy52TkM,https://music.amazon.com/albums/B08546N5BY?trackAsin=B0854BBGRH
Get Jiggy,"B Jack$, ZEDDY WILL",https://i.scdn.co/image/ab67616d0000b2730cc0b36379c71e1276ba35da,https://open.spotify.com/track/55NuTxRk1TyKzpgD8dC1IY,2025-07-21,https://geo.music.apple.com/us/album/_/1794826235?i=1794826236&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=khwLYLx2gJ8,https://music.amazon.com/albums/B0DWB98XWJ?trackAsin=B0DWBC1GRL
All In,"Earl Sweatshirt, LUCKI",https://i.scdn.co/image/ab67616d0000b273ea5c803c889b985833ae8b8e,https://open.spotify.com/track/3usWHldhgpQvKVaW5uC9Ke,2025-07-22,https://geo.music.apple.com/us/album/_/1452018190?i=1452018439&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=UYlpTQZZK5A,https://music.amazon.com/albums/B07NJLZKDS?trackAsin=B07NJM5WPP
"One Mic, One Gun","Nas, 21 Savage",https://i.scdn.co/image/ab67616d0000b2730ea808da9bc3eabc23a4f9d1,https://open.spotify.com/track/6Un2QxOTpCNmmZWlNEmNAv,2025-07-23,https://geo.music.apple.com/us/album/_/1793425428?i=1793425746&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=VMZefv4Vrwg,https://music.amazon.com/albums/B0DVDDHXDL?trackAsin=B0DVDGZRSD
Alicia Keys,"AyooLii, FearDorian",https://i.scdn.co/image/ab67616d0000b2736fb9c4ed1d704e47404262a7,https://open.spotify.com/track/6OB1A8Q70Gof3w2AQ7ztNq,2025-07-24,https://geo.music.apple.com/us/album/_/1751361346?i=1751361723&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=EPXG5smdQqM,https://music.amazon.com/albums/B0D6PWWL9H?trackAsin=B0D6PBQBST
Full Clip,Gang Starr,https://i.scdn.co/image/ab67616d0000b273adb5dbf4251255a00146d8eb,https://open.spotify.com/track/30oTS7bm0aH3p7lqjEIu8q,2025-07-25,https://geo.music.apple.com/us/album/_/724829211?i=724829348&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=ySyYlXbOIjI,https://music.amazon.com/albums/B092RMG5ZG?trackAsin=B092RLP4QG
Brilliant Mind,Blanco,https://i.scdn.co/image/ab67616d0000b2732aea1b9e6aeeebeb00979d74,https://open.spotify.com/track/2maR0wuP92sNy48SMVowzZ,2025-07-26,https://geo.music.apple.com/us/album/_/1695643186?i=1695643412&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=UJT1lV0G8uk,https://music.amazon.com/albums/B0C91BGQZQ?trackAsin=B0C9158T6W
Hardy Boyz,"Lord Sko, Dustrial Dre",https://i.scdn.co/image/ab67616d0000b273141982b9a510e1dd249a4bac,https://open.spotify.com/track/24JYQi5SKNXlDy5EUx27wl,2025-07-27,https://geo.music.apple.com/us/album/_/1634887123?i=1634887442&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=kuUR-aW1miI,https://music.amazon.com/albums/B0B6R4LWBS?trackAsin=B0B6R58ZP9
Beautiful,"Snoop Dogg, Pharrell Williams, Charlie Wilson",https://i.scdn.co/image/ab67616d0000b2738cdb0d29bb99ad4febccac39,https://open.spotify.com/track/7FrJV8tydWEv1Mxu2mIQrm,2025-07-28,https://geo.music.apple.com/us/album/_/713292736?i=713292791&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=_FE194VN6c4,https://music.amazon.com/albums/B000TERDM0?trackAsin=B000TDYMZM
Molasses (feat. RZA),"Earl Sweatshirt, RZA",https://i.scdn.co/image/ab67616d0000b27346f9bf1154c7205b0e8b1667,https://open.spotify.com/track/7lhkOb0VNnTlshwifCEoSr,2025-07-29,https://geo.music.apple.com/us/album/_/669700847?i=669701211&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=QGm4DGHgebk,https://music.amazon.com/albums/B0CFWJCHTT?trackAsin=B0CFWG52NB
Trust Issues,"Boldy James, ChanHays",https://i.scdn.co/image/ab67616d0000b273f8291635e25ab89d45258624,https://open.spotify.com/track/7FM9XdexrrYaoPFZ6Ggn0k,2025-07-30,https://geo.music.apple.com/us/album/_/1689450200?i=1689450214&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=4TBrRKYbFPA,https://music.amazon.com/albums/B0C67H22DT?trackAsin=B0C67NL8H6
Cheat Codes,"Danger Mouse, Black Thought",https://i.scdn.co/image/ab67616d0000b2737d79b9c2cacc84b20de67f80,https://open.spotify.com/track/5rs2Jgvzv2rmXhC7cc6ido,2025-07-31,https://geo.music.apple.com/us/album/_/1617484323?i=1617484325&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=ql5IvhouPlw,https://music.amazon.com/albums/B0DZTMHH9M?trackAsin=B0DZTJW2JV
Hard Knock Life (Ghetto Anthem),JAY-Z,https://i.scdn.co/image/ab67616d0000b2739700390e9c33c62cfcd915ce,https://open.spotify.com/track/5Tl0HJvynZtKdSUMKbFVVX,2025-08-01,https://geo.music.apple.com/us/album/_/1440914180?i=1440914193&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://www.youtube.com/watch?v=lpZgKI97K1M,https://music.amazon.com/albums/B004CIXLVG?trackAsin=B07QR1NDCZ
